Height,Weight
81.45132,0
74.31635,0
68.83647,0
64.38416,0
60.63483,0.00001
57.39705,0.00002
54.54866,0.00004
52.00706,0.00007
49.71297,0.00014
47.62325,0.00025
45.70483,0.00044
43.93237,0.00076
42.28556,0.00125
40.74819,0.00199
39.30693,0.00308
37.9508,0.00465
36.67055,0.00684
35.45842,0.00987
34.30776,0.01394
33.21282,0.01925
32.16868,0.02602
31.17099,0.03464
30.21597,0.04543
29.30029,0.05874
28.42096,0.07498
27.57536,0.0945
26.76112,0.11762
25.97612,0.14462
25.21844,0.17565
24.48636,0.21074
23.7783,0.2497
23.09284,0.29213
22.42866,0.3374
21.78458,0.38457
21.1595,0.43241
20.55241,0.47938
19.96238,0.52334
19.38854,0.56269
18.83011,0.59643
18.28635,0.62307
17.75657,0.64132
17.24013,0.65021
16.73643,0.64917
16.24493,0.63809
15.76509,0.61735
15.29644,0.58779
14.83851,0.55064
14.39088,0.50749
13.95314,0.46008
13.52491,0.41027
13.10584,0.35985
12.69558,0.31044
12.29382,0.26343
11.90024,0.21989
11.51458,0.18057
11.13655,0.14589
10.76589,0.11599
10.40237,0.09057
10.04576,0.06947
9.69582,0.05255
9.35234,0.03927
9.01514,0.02899
8.68402,0.02115
8.35879,0.01526
8.03928,0.01088
7.72533,0.00767
7.41677,0.00535
7.11346,0.0037
6.81525,0.00253
6.52199,0.00171
6.23357,0.00114
5.94983,0.00076
5.67068,0.0005
5.39598,0.00033
5.12562,0.00021
4.8595,0.00013
4.5975,0.00009
4.33954,0.00005
4.0855,0.00003
3.8353,0.00002
3.58885,0.00001
3.34606,0.00001
3.10684,0.00001
2.87112,0
2.63882,0
2.40987,0
2.18417,0
1.96169,0
1.74233,0
1.52604,0
1.31275,0
1.10241,0
0.89494,0
0.6903,0
0.48843,0
0.28927,0
0.09277,0
-0.10111,0
-0.29244,0
-0.48125,0
